"Flokkun","Artal","N"
"Serripes groenlandicus",2015,1
"Serripes groenlandicus",2016,3
"Serripes groenlandicus",2017,1
"Sipuncula",2016,1
"Sipunculida",2015,2
"Sipunculidae",2017,2
"Sipunculidea",2014,1
"Skeljar",2016,3
"Sphaerodoridae",1999,1
"Sphaerodoropsis minuta",2016,1
"Sphaerosyllis",2016,1
"Sphaerosyllis erinaceus",2013,5
"Sphaerosyllis erinaceus",2014,5
"Sphaerosyllis erinaceus",2015,5
"Sphaerosyllis erinaceus",2017,4
"spio",2016,2
"Spio",1999,95
"Spio",2016,6
"Spio filicornis",2016,1
"Spionida",2016,5
"Spionidae",2016,217
"Sternaspis scutata",1999,44
"Sternaspis scutata",2013,15
"Syllidae",2013,7
"Syllidae",2014,1
"Syllidae",2015,1
"Syllidae",2016,1
"Syllis",2016,1
"Syllis cornuta",1999,7
"Syllis cornuta",2013,2
"Syllis cornuta",2014,4
"Syllis cornuta",2015,1
"Syllis cornuta",2017,1
"Syllis gracilis",1999,3
"Terebellidae",2013,1
"Terebellidae",2014,1
"Terebellidae",2015,4
"Terebellidae",2016,6
"Terebellidae",2017,1
"Terebellides",2017,7
"Terebellides stroemi",1999,48
"Terebellides stroemii",2017,2
"Terebelliformia",2016,1
"Thracia villosiuscula",1999,2
"Thyasira flexuosa",1999,8
"Thyasira flexuosa",2017,10
"Tubificidae",2014,167
"Tubificidae",2017,1
"Tubificoides benedii",1999,2
"Tubificoides benedii",2013,2
"Tubificoides benedii",2014,20
"Tubificoides benedii",2015,3
"Tubificoides kozloffi",2013,94
"Tubificoides kozloffi",2014,57
"Tubificoides kozloffi",2015,4
"Tubificoides kozloffi",2016,1
"Tunicata",2014,4
"Tunicata",2015,13
"Turbellaria",2014,4
"Turbellaria",2017,1
"Typosyllis armillaris",2013,1
"Verruca stroemia",2014,1
"Yoldia hyperborea",1999,5
