"Flokkun","id","N","Artal","skipting","stod","Nu"
"Pycnogonida sp","U1C",1,2013,8,"U1",8
"Pycnogonida sp","U1C",5,2013,1,"U1",5
"Pycnogonida sp","U1A",3,2013,1,"U1",3
"Pycnogonida sp","U1B",4,2013,8,"U1",32
"Pycnogonida sp","U1B",2,2013,1,"U1",2
"Rhodine gracilior","U2C",1,2013,1,"U2",1
"Sabellida sp","U1B",3,2013,8,"U1",24
"Scoloplos armiger","C4C",2,2013,1,"C4",2
"Scoloplos armiger","U2C",5,2013,1,"U2",5
"Scoloplos armiger","U2B",3,2013,8,"U2",24
"Scoloplos armiger","U2B",17,2013,1,"U2",17
"Scoloplos armiger","U1A",4,2013,1,"U1",4
"Scoloplos armiger","U2A",8,2013,1,"U2",8
"Scoloplos armiger","C4A",1,2013,1,"C4",1
"Sphaerosyllis erinaceus","U1C",1,2013,1,"U1",1
"Sphaerosyllis erinaceus","U2C",1,2013,8,"U2",8
"Sphaerosyllis erinaceus","U1A",3,2013,1,"U1",3
"Sphaerosyllis ungv.","E3A",1,2013,8,"E3",8
"Sphaerosyllis ungv.","U1B",13,2013,8,"U1",104
"Spionidae sp.","C4C",6,2013,8,"C4",48
"Spionidae sp.","C4C",45,2013,1,"C4",45
"Spionidae sp.","U1C",6,2013,4,"U1",24
"Spionidae sp.","U1C",2,2013,8,"U1",16
"Spionidae sp.","U1C",26,2013,1,"U1",26
"Spionidae sp.","U2C",1,2013,8,"U2",8
"Spionidae sp.","U2C",14,2013,1,"U2",14
"Spionidae sp.","U2B",4,2013,8,"U2",32
"Spionidae sp.","U2B",18,2013,1,"U2",18
"Spionidae sp.","U1A",21,2013,1,"U1",21
"Spionidae sp.","B0C",2,2013,1,"B0",2
"Spionidae sp.","E3B",7,2013,2,"E3",14
"Spionidae sp.","C4B",3,2013,8,"C4",24
"Spionidae sp.","C4B",42,2013,1,"C4",42
"Spionidae sp.","E3B",16,2013,1,"E3",16
"Spionidae sp.","E4B",1,2013,1,"E4",1
"Spionidae sp.","U2A",18,2013,1,"U2",18
"Spionidae sp.","U2A",2,2013,8,"U2",16
"Spionidae sp.","E3A",55,2013,1,"E3",55
"Spionidae sp.","E3A",2,2013,8,"E3",16
"Spionidae sp.","U1B",33,2013,8,"U1",264
"Spionidae sp.","B0B",3,2013,1,"B0",3
"Spionidae sp.","B0B",1,2013,8,"B0",8
"Spionidae sp.","C4A",92,2013,1,"C4",92
"Spionidae sp.","C4A",1,2013,8,"C4",8
"Spionidae sp.","B5A",3,2013,1,"B5",3
"Sternapsis scutata","U2C",1,2013,1,"U2",1
"Sternapsis scutata","U2B",11,2013,1,"U2",11
"Sternapsis scutata","U2A",3,2013,1,"U2",3
"Syllidae sp","U1C",3,2013,4,"U1",12
"Syllidae sp","U1C",3,2013,8,"U1",24
"Syllidae sp","U1A",1,2013,1,"U1",1
"Syllis cornuta","U2C",1,2013,1,"U2",1
"Syllis cornuta","U2A",1,2013,1,"U2",1
"Terebellidae sp","U1B",1,2013,8,"U1",8
"Tubicoides benedi","C4C",1,2013,8,"C4",8
"Tubicoides benedi","U1C",1,2013,1,"U1",1
"Tubicoides kozloffi","C4C",1,2013,8,"C4",8
"Tubicoides kozloffi","C4C",1,2013,1,"C4",1
"Tubicoides kozloffi","B5C",1,2013,8,"B5",8
"Tubicoides kozloffi","U1C",2,2013,4,"U1",8
"Tubicoides kozloffi","U1C",1,2013,8,"U1",8
"Tubicoides kozloffi","U1C",3,2013,1,"U1",3
"Tubicoides kozloffi","U2C",5,2013,8,"U2",40
"Tubicoides kozloffi","U2C",2,2013,1,"U2",2
"Tubicoides kozloffi","U2B",9,2013,8,"U2",72
"Tubicoides kozloffi","U2B",9,2013,1,"U2",9
"Tubicoides kozloffi","B0C",1,2013,8,"B0",8
"Tubicoides kozloffi","B0C",7,2013,1,"B0",7
"Tubicoides kozloffi","U2A",22,2013,1,"U2",22
"Tubicoides kozloffi","U2A",9,2013,8,"U2",72
"Tubicoides kozloffi","E3A",16,2013,1,"E3",16
"Tubicoides kozloffi","U1B",2,2013,8,"U1",16
"Tubicoides kozloffi","B0B",2,2013,1,"B0",2
"Tubicoides kozloffi","B5A",1,2013,1,"B5",1
"Typosyllis armillaris","U1B",1,2013,8,"U1",8
"Acmaea testudinalis","B0A",1,2014,1,"B0",1
"Ampharete acutifrons","E3B",1,2014,1,"E3",1
"Amphipoda sp","B5A",7,2014,1,"B5",7
