"Dexamine thea",,,,,,1
"Dodecaceria concharum",8,3,1,,,
"Dorvilleidae",,,,,1,
"Ennucula tenuis",80,,3,4,14,3
"Eteone longa",7,41,,,26,
"Eteone longa ",,,222,38,,23
"Euchone",,,1,2,,1
"Eudorella emarginata",1,,,,,
"Eunoe nodosa",,18,,,3,
"Eupolymnia nesidensis",,16,,,,
"Exogone hebes",,3,,,,
"Exogone verugera",,11,,,,
"Flabelligera affinis",,,,1,,1
"Flabelligera affinis???",,1,,,,
"Galathowenia oculata",,2,,2,,1
"Gammarus",,,3,,,
"Gastropoda",,2,,5,,2
"Gattyana cirrhosa",,4,,,1,
"Gibbula tumida",,,,,,1
"Glycera capitata",,,,1,,
"Harmothoe",,69,71,17,,15
"Harmothoe extenuata",,15,,,,
"Harmothoe imbricata",,21,,,2,
"harpacticoida",,,,,3,
"Henricia sanguinolenta",,4,,,,
"Heteromastus filiformis",11,1,,,90,1
"Hiatella arctica",,1,5,6,2,6
"Hyas araneus",,1,,,,
"Hydrozoa",,,1,22,2,16
"Kurtiella bidentata",,,,,3,
"Lacuna vincta",,,2,,,
"Lanassa venusta",16,6,4,7,1,8
"Laphania boecki",2,,,,,
"Leaena ebranchiata",,,,,1,
"Leda",4,,,,,
"Leda pernula",4,,,,,
"Lepeta caeca",,1,,,,
"Lepidonotus squamatus",,4,,,,
"Leucon acutirostris",41,,,,,
"Levinsenia gracilis",58,6,,,2,
"Lumbrineridae",,,,,1,
"Lumbrineris",1,,,,,
"Macoma calcarea",51,31,18,136,139,164
"Malacoceros fuliginosus",,,65,,,
"Maldane sarsi",1,,,,,
"Maldanidae",,1,,2,42,1
"Margarites groenlandicus",,,,,,1
"Mediomastus filiformis",10,2,,,,1
"Mediomastus fragilis",,16,21,88,10,82
"Microphthalmus aberrans",8,27,61,23,14,16
"Moelleria costulata",,2,,,,
"Munna",2,,,,,
"Mya",,,20,4,,9
"Mya arenaria",,,9,19,20,19
"Mya truncata",,,1,,,
"Myriochele oculata",6,1,,,,
"Mytilidae",,,71,40,2,6
"Mytilus edulis",59,,4,4,,
"Naineris quadricuspida",,,34,,,
"Naticidae",,,,,,1
"Nephtyidae",,6,3,,1,
"Nephtys",,,,,3,
"Nepthys",,,,9,,9
"Nereimyra punctata",,4,,1,,
"Nereis pelagica",,,1,,,
"Nicolea zostericola",,,,,,1
"Notomastus latericeus ",,,,,,1
"Nuculana minuta",,,,,6,
"Nuculana pernula",,,,,14,
"Nudibranchia",,,1,,,2
"Oligochaeta",207,126,,30,71,40
"Onoba aculeus",4,,8,,,1
"Onoba striata",,,,,,1
"Ophelina acuminata",25,,2,148,441,100
"Ophiuroidea",1,29,,,1,
"Ophryotrocha cosmetandra",,1,,,,
"Opisthobranchia",,,,,,1
"Orbiniidae",,1,,,1,
"ostracoda",,,,,7,
"Paraonidae",,,,,2,
"Paroediceros lynceus",11,,,,,
"Parougia nigridentata",,,,1,,
"Parvicardium minimum",,,,,4,
"Parvicardium pinnulatum",,,,,,4
"Pectinaria granulata",24,10,4,4,,2
"Pectinaria koreni",,,3,10,1,6
"Pectinariidae",,,,,1,
"Pherusa plumosa",,,,,,1
"Philomedes globosus",5,6,,,,
"Pholoe",,1,,3,2,1
"Pholoe minuta",6,,,,,
"Phyllodoce maculata",2,3,20,4,4,14
"Phyllodocida",,,,,1,
"Phyllodocidae",,2,,,,
"Platyhelminthes",,,,,1,
"Polychaeta",,,,,9,
"Polycirrinae",,2,,,,
"Polynoidae",1,88,,,5,
"Polyplacophora",,20,,,,
"Praxillella",,,1,,,
"Praxillella praetermissa",34,41,3,6,12,58
"priapulidae",,,,,1,
"Priapulidae",,,,,6,
"Priapulus caudatus",5,,4,1,,7
"Protomedeia fasciata",34,1,9,8,1,30
"Pseudopolydora antennata",,,,,1,
"Pseudopotamilla reniformis",1,,,,,
"Pycnogonida",,15,,,,1
"Pygospio elegans",2,,,,3,3
"Retusa pertenuis",3,,,,,
"Rhodine gracilior",,1,,,,
"Sabellida",,3,1,,,1
"Sabellidae",,,,,2,
"scalibregma inflatum",,,,,6,
"Scalibregma inflatum",79,,,6,53,156
"Schistomeringos nigridentata",22,,,,,
"Scoloplos armiger",32,40,12,53,80,108
"Serripes groenlandicus",,,,1,1,1
"Sipuncula",,,,,1,
"Sipunculida",,,,2,,
"Sipunculidae",,,,,,2
"Sipunculidea",,,1,,,
"Skeljar",,,,,25,
"Sphaerodoridae",1,,,,,
"Sphaerodoropsis minuta",,,,,1,
"Sphaerosyllis",,14,,,1,
"Sphaerosyllis erinaceus",,5,5,5,,4
"spio",,,,,2,
"Spio",95,,,,6,
"Spio filicornis",,,,,1,
"Spionida",,,,,6,
"Spionidae",262,424,164,153,438,403
"Sternaspis scutata",44,15,,,,
"Syllidae",,7,1,1,1,
"Syllis",,,,,1,
"Syllis cornuta",7,2,4,1,,1
"Syllis gracilis",3,,,,,
"Tellina",4,5,,1,,1
"Terebellidae",,1,1,6,6,2
"Terebellides",,,,,,7
"Terebellides stroemi",48,,,,,
"Terebellides stroemii",,,,,,2
"Terebelliformia",,,,,1,
"Thracia villosiuscula",2,,,,,
"Thyasira flexuosa",8,,,,,10
"Tubificidae",,,167,,,1
"Tubificoides benedii",2,2,20,3,,
"Tubificoides kozloffi",,94,57,4,1,
"Tunicata",,,4,13,,
"Turbellaria",,,4,,,1
