"Artal","stod","col","variable","value"
"2015","E4","SR-De","N",1131
"2015","E4","SR-Pr-mac","N",240
"2015","E4","SR-Su","N",33
"2015","E4","SS-De","N",467
"2015","E4","SS-Om-mic","N",33
"2015","E4","SS-Pr-mac","N",67
"2016","A7","EP-Su","N",332
"2016","A7","SR-De","N",864
"2016","A7","SR-Pr-mac","N",8
"2016","A7","SR-Su","N",66
"2016","A7","SS-De","N",3026
"2016","B5","EP-Su","N",33
"2016","B5","SR-De","N",1691
"2016","B5","SS-De","N",3382
"2016","B8","EP-Su","N",833
"2016","B8","SR-De","N",2140
"2016","B8","SR-Dt","N",33
"2016","B8","SR-Pr-mac","N",67
"2016","B8","SR-Pr-mei","N",333
"2016","B8","SS-De","N",2130
"2016","B8","SS-Pr-mac","N",141
"2016","C4","SR-De","N",2782
"2016","C4","SR-Pr-mac","N",333
"2016","C4","SR-Pr-mei","N",33
"2016","C4","SS-De","N",5016
"2016","C4","SS-Pr-mac","N",108
"2016","E3","EP-Su","N",33
"2016","E3","SR-De","N",4049
"2016","E3","SR-Om-mic","N",33
"2016","E3","SR-Pr-mac","N",74
"2016","E3","SR-Pr-mei","N",33
"2016","E3","SR-Su","N",200
"2016","E3","SS-De","N",2305
"2016","E3","SS-Sc-mac","N",67
"2016","E4","EP-Su","N",33
"2016","E4","SR-De","N",4533
"2016","E4","SR-Pr-mac","N",599
"2016","E4","SR-Pr-mei","N",41
"2016","E4","SR-Su","N",67
"2016","E4","SS-De","N",2723
"2016","E4","SS-Pr-mac","N",33
"2016","E4","SS-Sc-mac","N",100
"2017","A7","SR-Ch-Om","N",33
"2017","A7","SR-De","N",598
"2017","A7","SR-Pr-mac","N",133
"2017","A7","SR-Pr-mei","N",267
"2017","A7","SR-Su","N",66
"2017","A7","SS-De","N",2234
"2017","A7","SS-Pr-mac","N",33
"2017","B5","EP-Su","N",33
"2017","B5","SR-Ch-Om","N",166
"2017","B5","SR-De","N",1677
"2017","B5","SR-Pr-mac","N",108
"2017","B5","SR-Pr-mei","N",600
"2017","B5","SS-De","N",1699
"2017","B5","SS-Pr-mac","N",33
"2017","B8","EP-Su","N",166
"2017","B8","SR-De","N",1501
"2017","B8","SR-Pr-mei","N",567
"2017","B8","SR-Su","N",33
"2017","B8","SS-De","N",3008
"2017","B8","SS-Pr-mac","N",33
"2017","C4","EP-Sp-fis","N",33
"2017","C4","EP-Su","N",33
"2017","C4","SR-De","N",1950
"2017","C4","SR-Pr-mac","N",233
"2017","C4","SR-Pr-mei","N",300
"2017","C4","SR-Su","N",33
"2017","C4","SS-De","N",2790
"2017","C4","SS-Pr-mac","N",100
"2017","E3","EP-Pr-zoo","N",33
"2017","E3","EP-Su","N",108
"2017","E3","SR-Ch-Om","N",67
"2017","E3","SR-De","N",978
"2017","E3","SR-He-mac","N",66
"2017","E3","SR-He-mic","N",67
"2017","E3","SR-Pr-mac","N",292
"2017","E3","SR-Su","N",299
"2017","E3","SS-De","N",1347
"2017","E4","EP-Su","N",608
"2017","E4","SR-Ch-Om","N",200
"2017","E4","SR-De","N",1223
"2017","E4","SR-He-mic","N",67
"2017","E4","SR-Pr-mac","N",408
"2017","E4","SR-Pr-mei","N",333
"2017","E4","SR-Su","N",1767
"2017","E4","SS-De","N",2048
"2017","E4","SS-Pr-mac","N",66
"2017","E4","SS-Sc-mac","N",416
"1999","A7","SR-De","prop_N",0.323995127892814
"1999","A7","SR-Pr-mac","prop_N",0.0267965895249695
"1999","A7","SR-Pr-mei","prop_N",0.0267965895249695
"1999","A7","SR-Su","prop_N",0.189403166869671
"1999","A7","SS-De","prop_N",0.433008526187576
"1999","B5","EP-Su","prop_N",0.104921624810383
"1999","B5","SR-Ch-Om","prop_N",0.0150008427439744
"1999","B5","SR-De","prop_N",0.434434518793191
"1999","B5","SR-Pr-mei","prop_N",0.00370807348727457
"1999","B5","SS-De","prop_N",0.411933254677229
"1999","B5","SS-Pr-mac","prop_N",0.0300016854879488
"1999","B8","EP-Su","prop_N",0.0333133253301321
"1999","B8","SR-De","prop_N",0.379951980792317
"1999","B8","SR-He-mic","prop_N",0.00660264105642257
"1999","B8","SR-Pr-mac","prop_N",0.0133553421368547
"1999","B8","SR-Pr-mei","prop_N",0.0267106842737095
"1999","B8","SR-Su","prop_N",0.14000600240096
"1999","B8","SS-De","prop_N",0.400060024009604
"1999","C4","EP-Pr-zoo","prop_N",0.0279764408918805
"1999","C4","EP-Su","prop_N",0.26167437946992
"1999","C4","SR-De","prop_N",0.11211611274716
"1999","C4","SR-Dt","prop_N",0.0187210769877997
"1999","C4","SR-He-mic","prop_N",0.0374421539755995
"1999","C4","SR-Pr-mei","prop_N",0.00925536390408077
"1999","C4","SR-Su","prop_N",0.0466975178796803
"1999","C4","SS-De","prop_N",0.476861590239798
"1999","C4","SS-Pr-mac","prop_N",0.00925536390408077
"1999","E3","EP-Pr-zoo","prop_N",0.030461196200907
